"","Family","Genus","Taxa","Portik","guild","ecology","terrestrial","lung","Spec_lotic","six_state","eight_state","state","tree_names"
"318","Hylidae","Litoria","Litoria_aurea","","lentic",1,"0",1,0,6,6,4,"Litoria_aurea"
"319","Hylidae","Litoria","Litoria_booroolongensis","","lotic, suctorial",0,"0",1,1,4,4,2,"Litoria_booroolongensis"
"321","Hylidae","Litoria","Litoria_citropa","","lotic, suctorial",0,"0",1,1,4,4,2,"Litoria_citropa"
"322","Hylidae","Litoria","Litoria_coplandi","","lotic, clasping",0,"0",1,0,3,3,2,"Litoria_coplandi"
"323","Hylidae","Litoria","Litoria_dahlii","","lentic, nektonic",1,"0",1,0,6,6,4,"Litoria_dahlii"
"324","Hylidae","Litoria","Litoria_dayi","?","lotic, suctorial",0,"0",0,1,2,2,1,NA
"325","Hylidae","Litoria","Litoria_electrica","","lentic",1,"0",1,0,6,6,4,"Litoria_electrica"
"326","Hylidae","Litoria","Litoria_eucnemis","","lentic, benthic",1,"0",1,0,6,6,4,"Litoria_eucnemis"
"327","Hylidae","Litoria","Litoria_inermis","","lentic",1,"0",1,0,6,6,4,"Litoria_inermis"
"328","Hylidae","Litoria","Litoria_infrafrenata","","lentic",1,"0",1,0,6,6,4,"Litoria_infrafrenata"
"329","Hylidae","Litoria","Litoria_iris","","lentic",1,"0",1,0,6,6,4,"Litoria_iris"
"330","Hylidae","Litoria","Litoria_jervisiensis","","lentic, nektonic",1,"0",1,0,6,6,4,"Litoria_jervisiensis"
"331","Hylidae","Litoria","Litoria_lesueurii","","lotic, suctorial",0,"0",1,1,4,4,2,"Litoria_lesueurii"
"332","Hylidae","Litoria","Litoria_moorei","","lentic, nektonic",1,"0",1,0,6,6,4,"Litoria_moorei"
"333","Hylidae","Litoria","Litoria_nannotis","","lotic, suctorial",0,"0",0,1,2,2,1,"Litoria_nannotis"
"334","Hylidae","Litoria","Litoria_nyakalensis","","lotic, suctorial",0,"0",0,1,2,2,1,"Litoria_nyakalensis"
"335","Hylidae","Litoria","Litoria_peronii","","lentic, nektonic",1,"0",1,0,6,6,4,"Litoria_peronii"
"336","Hylidae","Litoria","Litoria_rheocola","","lotic, suctorial",0,"0",0,1,2,2,1,"Litoria_rheocola"
"337","Hylidae","Litoria","Litoria_serrata","","lotic",0,"0",1,0,3,3,2,"Litoria_serrata"
"338","Hylidae","Litoria","Litoria_subglandulosa","","lotic, suctorial",0,"0",1,1,4,4,2,"Litoria_subglandulosa"
"339","Hylidae","Litoria","Litoria_xanthomera","","lentic",1,"0",1,0,6,6,4,"Litoria_xanthomera"
"341","Hylidae","Megastomatohyla","Megastomatohyla_mixe","","lotic, suctorial",0,"0",0,1,2,2,1,"Megastomatohyla_mixe"
"342","Hylidae","Megastomatohyla","Megastomatohyla_mixomaculata","Megastomatohyla_pellita","lotic, suctorial",0,"0",0,1,2,2,1,"Megastomatohyla_pellita"
"343","Hylidae","Myersiohyla","Myersiohyla_chamaeleo","Myersiohyla_inparquesi","lotic, clasping",0,"0",1,0,3,3,2,"Myersiohyla_inparquesi"
"346","Hylidae","Nyctimystes","Nyctimystes_cheesmani","","lotic, suctorial",0,"0",0,1,2,2,1,"Nyctimystes_cheesmani"
"347","Hylidae","Osteocephalus","Osteocephalus_oophagus","","lentic, arboreal",1,"0",1,0,6,6,4,"Osteocephalus_oophagus"
"348","Hylidae","Osteocephalus","Osteocephalus_planiceps","","lentic, arboreal",1,"0",1,0,6,6,4,"Osteocephalus_planiceps"
"349","Hylidae","Osteopilus","Osteopilus_dominicensis","","lentic, arboreal",1,"0",1,0,6,6,4,"Osteopilus_dominicensis"
"350","Hylidae","Osteopilus","Osteopilus_ocellatus","","lentic, arboreal",1,"0",1,0,6,6,4,"Osteopilus_ocellatus"
"351","Hylidae","Osteopilus","Osteopilus_septentrionalis","","lentic",1,"0",1,0,6,6,4,"Osteopilus_septentrionalis"
"352","Hylidae","Osteopilus","Osteopilus_vastus","","lotic",0,"0",1,0,3,3,2,"Osteopilus_vastus"
"353","Hylidae","Phasmahyla","Phasmahyla_cochranae","","lentic, neustonic",1,"0",1,0,6,6,4,"Phasmahyla_cochranae"
"354","Hylidae","Phasmahyla","Phasmahyla_cruzi","","lentic, neustonic",1,"0",1,0,6,6,4,"Phasmahyla_cruzi"
"355","Hylidae","Phasmahyla","Phasmahyla_guttata","","lentic, neustonic",1,"0",1,0,6,6,4,"Phasmahyla_guttata"
"358","Hylidae","Phyllomedusa","Phyllomedusa_distincta","","lentic, suspension feeder",1,"0",1,0,6,6,4,"Phyllomedusa_distincta"
"359","Hylidae","Phyllomedusa","Phyllomedusa_vaillantii","","lentic, nektonic",1,"0",1,0,6,6,4,"Phyllomedusa_vaillantii"
"361","Hylidae","Plectrohyla","Plectrohyla_guatemalensis","","lotic",0,"0",1,0,3,3,2,"Plectrohyla_guatemalensis"
"362","Hylidae","Plectrohyla","Plectrohyla_teuchestes","Plectrohyla_matudai","lotic, suctorial",0,"0",1,1,4,4,2,"Plectrohyla_matudai"
"363","Hylidae","Pseudacris","Pseudacris_crucifer","","lentic, nektonic",1,"0",1,0,6,6,4,"Pseudacris_crucifer"
"364","Hylidae","Pseudacris","Pseudacris_ornata","","lentic, nektonic",1,"0",1,0,6,6,4,"Pseudacris_ornata"
"365","Hylidae","Pseudacris","Pseudacris_regilla","","lentic",1,"0",1,0,6,6,4,"Pseudacris_regilla"
"367","Hylidae","Pseudis","Pseudis_minuta","","lentic, nektonic",1,"0",1,0,6,6,4,"Pseudis_minuta"
"368","Hylidae","Pseudis","Pseudis_paradoxa","","lentic, nektonic",1,"0",1,0,6,6,4,"Pseudis_paradoxa"
"369","Hylidae","Ptychohyla","Ptychohyla_hypomykter","","lotic",0,"0",1,0,3,3,2,"Ptychohyla_hypomykter"
"370","Hylidae","Ptychohyla","Ptychohyla_zophodes","","lotic",0,"0",1,0,3,3,2,"Ptychohyla_zophodes"
"371","Hylidae","Ranoidea","Litoria_caerulea","","lentic",1,"0",1,0,6,6,4,"Litoria_caerulea"
"372","Hylidae","Ranoidea","Litoria_rubella","","lentic",1,"0",1,0,6,6,4,"Litoria_rubella"
"373","Hylidae","Sarcohyla","Sarcohyla_arborescandens","","lotic",0,"0",1,0,3,3,2,"Sarcohyla_arborescandens"
"375","Hylidae","Scarthyla","Scarthyla_goinorum","","lentic, nektonic",1,"0",1,0,6,6,4,"Scarthyla_goinorum"
"376","Hylidae","Scarthyla","Scarthyla_vigilans","","lentic",1,"0",1,0,6,6,4,"Scarthyla_vigilans"
"377","Hylidae","Scinax","Scinax_albicans","","lentic, nektonic",1,"0",1,0,6,6,4,"Scinax_albicans"
"378","Hylidae","Scinax","Scinax_nasicus","","lentic",1,"0",1,0,6,6,4,"Scinax_nasicus"
"379","Hylidae","Scinax","Scinax_ruber","","lentic",1,"0",1,0,6,6,4,"Scinax_ruber"
"380","Hylidae","Smilisca","Smilisca_baudinii","","lentic",1,"0",1,0,6,6,4,"Smilisca_baudinii"
"381","Hylidae","Smilisca","Smilisca_phaeota","","lentic",1,"0",1,0,6,6,4,"Smilisca_phaeota"
"382","Hylidae","Sphaenorhynchus","Sphaenorhynchus_dorisae","","lentic, benthic",1,"0",1,0,6,6,4,"Sphaenorhynchus_dorisae"
"383","Hylidae","Tepuihyla","Tepuihyla_edelcae","","lentic",1,"0",1,0,6,6,4,"Tepuihyla_edelcae"
"384","Hylidae","Tlalocohyla","Tlalocohyla_loquax","","lentic",1,"0",1,0,6,6,4,"Tlalocohyla_loquax"
"385","Hylidae","Trachycephalus","Trachycephalus_resinifictrix","","lentic, nektonic",1,"0",1,0,6,6,4,"Trachycephalus_resinifictrix"
"386","Hylidae","Trachycephalus","Trachycephalus_typhonius","","lentic",1,"0",1,0,6,6,4,"Trachycephalus_typhonius"
"387","Hylidae","Triprion","Triprion_petasatus","","lentic, benthic",1,"0",1,0,6,6,4,"Triprion_petasatus"
"388","Hylidae","Triprion","Triprion_spinosus","","lentic, arboreal",1,"0",1,0,6,6,4,"Triprion_spinosus"
"389","Hylidae","Xenohyla","Xenohyla_truncata","","lentic, nektonic",1,"0",1,0,6,6,4,"Xenohyla_truncata"
"390","Hylodidae","Crossodactylus","Crossodactylus_gaudichaudii","","lotic, benthic",0,"0",1,0,3,3,2,"Crossodactylus_gaudichaudii"
"391","Hylodidae","Crossodactylus","Crossodactylus_schmidti","","lotic, benthic",0,"0",1,0,3,3,2,"Crossodactylus_schmidti"
"392","Hylodidae","Hylodes","Hylodes_asper","","lotic",0,"0",1,0,3,3,2,"Hylodes_asper"
"393","Hylodidae","Hylodes","Hylodes_meridionalis","","lotic, benthic",0,"0",1,0,3,3,2,"Hylodes_meridionalis"
"394","Hylodidae","Hylodes","Hylodes_phyllodes","","lotic",0,"0",1,0,3,3,2,"Hylodes_phyllodes"
"395","Hylodidae","Megaelosia","Megaelosia_goeldii","","lotic, benthic",0,"0",1,0,3,3,2,"Megaelosia_goeldii"
"397","Hyperoliidae","Acanthixalus","Acanthixalus_spinosus","","lentic, arboreal",1,"0",1,0,6,6,4,"Acanthixalus_spinosus"
"398","Hyperoliidae","Afrixalus","Afrixalus_delicatus","","lentic, nektonic",1,"0",1,0,6,6,4,"Afrixalus_delicatus"
"399","Hyperoliidae","Afrixalus","Afrixalus_dorsalis","","lentic",1,"0",1,0,6,6,4,"Afrixalus_dorsalis"
"407","Hyperoliidae","Hyperolius","Hyperolius_marmoratus","","lentic",1,"0",1,0,6,6,4,"Hyperolius_marmoratus"
"408","Hyperoliidae","Hyperolius","Hyperolius_puncticulatus","","lentic, benthic",1,"0",1,0,6,6,4,"Hyperolius_puncticulatus"
"409","Hyperoliidae","Hyperolius","Hyperolius_pusillus","","lentic",1,"0",1,0,6,6,4,"Hyperolius_pusillus"
"410","Hyperoliidae","Hyperolius","Hyperolius_tuberilinguis","","lentic",1,"0",1,0,6,6,4,"Hyperolius_tuberilinguis"
"411","Hyperoliidae","Kassina","Kassina_cochranae","","lentic, nektonic",1,"0",1,0,6,6,4,"Kassina_cochranae"
"412","Hyperoliidae","Kassina","Kassina_senegalensis","","lentic, nektonic",1,"0",1,0,6,6,4,"Kassina_senegalensis"
"417","Hyperoliidae","Phlyctimantis","Phlyctimantis_leonardi","","lentic, nektonic",1,"0",1,0,6,6,4,"Phlyctimantis_leonardi"
"418","Hyperoliidae","Phlyctimantis","Phlyctimantis_maculatus","","lentic, nektonic",1,"0",1,0,6,6,4,"Phlyctimantis_maculatus"
"419","Hyperoliidae","Semnodactylus","Semnodactylus_wealii","","lentic, nektonic",1,"0",1,0,6,6,4,"Semnodactylus_wealii"
"420","Hyperoliidae","Tachycnemis","Tachycnemis_seychellensis","","lotic, benthic",0,"0",1,0,3,3,2,"Tachycnemis_seychellensis"
"422","Leptodactylidae","Adenomera","Adenomera_hylaedactyla","","lentic, benthic",1,"0",1,0,6,6,4,"Adenomera_hylaedactyla"
"424","Leptodactylidae","Crossodactylodes","Crossodactylodes_itambe","","lentic, arboreal",1,"0",1,0,6,6,4,"Crossodactylodes_itambe"
"426","Leptodactylidae","Engystomops","Engystomops_petersi","","lentic",1,"0",1,0,6,6,4,"Engystomops_petersi"
"427","Leptodactylidae","Engystomops","Engystomops_pustulosus","","lentic",1,"0",1,0,6,6,4,"Engystomops_pustulosus"
"429","Leptodactylidae","Leptodactylus","Leptodactylus_flavopictus","","lotic",0,"0",1,0,3,3,2,"Leptodactylus_flavopictus"
"430","Leptodactylidae","Leptodactylus","Leptodactylus_fuscus","","lentic, benthic",1,"0",1,0,6,6,4,"Leptodactylus_fuscus"
"431","Leptodactylidae","Leptodactylus","Leptodactylus_gracilis","","lentic, benthic",1,"0",1,0,6,6,4,"Leptodactylus_gracilis"
"432","Leptodactylidae","Leptodactylus","Leptodactylus_knudseni","","lentic, benthic",1,"0",1,0,6,6,4,"Leptodactylus_knudseni"
"433","Leptodactylidae","Leptodactylus","Leptodactylus_latinasus","","lentic, benthic",1,"0",1,0,6,6,4,"Leptodactylus_latinasus"
"434","Leptodactylidae","Leptodactylus","Leptodactylus_latrans","","lentic",1,"0",1,0,6,6,4,"Leptodactylus_latrans"
"436","Leptodactylidae","Leptodactylus","Leptodactylus_mystaceus","","lentic, arboreal",1,"0",1,0,6,6,4,"Leptodactylus_mystaceus"
"437","Leptodactylidae","Leptodactylus","Leptodactylus_mystacinus","","lentic, benthic",1,"0",1,0,6,6,4,"Leptodactylus_mystacinus"
"439","Leptodactylidae","Leptodactylus","Leptodactylus_podicipinus","","lentic",1,"0",1,0,6,6,4,"Leptodactylus_podicipinus"
"440","Leptodactylidae","Leptodactylus","Leptodactylus_wagneri","","lentic, benthic",1,"0",1,0,6,6,4,"Leptodactylus_wagneri"
"442","Leptodactylidae","Paratelmatobius","Paratelmatobius_lutzii","?","lentic",1,"0",1,0,6,6,4,NA
"443","Leptodactylidae","Paratelmatobius","Paratelmatobius_mantiqueira","Paratelmatobius_poecilogaster","lentic",1,"0",1,0,6,6,4,"Paratelmatobius_poecilogaster"
"444","Leptodactylidae","Physalaemus","Physalaemus_biligonigerus","","lentic, benthic",1,"0",1,0,6,6,4,"Physalaemus_biligonigerus"
"445","Leptodactylidae","Physalaemus","Physalaemus_cuvieri","","lentic",1,"0",1,0,6,6,4,"Physalaemus_cuvieri"
"446","Leptodactylidae","Pleurodema","Pleurodema_borellii","","lentic, benthic",1,"0",1,0,6,6,4,"Pleurodema_borellii"
"447","Leptodactylidae","Pleurodema","Pleurodema_brachyops","","lentic, benthic",1,"0",1,0,6,6,4,"Pleurodema_brachyops"
"448","Leptodactylidae","Pleurodema","Pleurodema_bufoninum","","lentic, benthic",1,"0",1,0,6,6,4,"Pleurodema_bufoninum"
"449","Leptodactylidae","Pleurodema","Pleurodema_cinereum","","lentic, benthic",1,"0",1,0,6,6,4,"Pleurodema_cinereum"
"450","Leptodactylidae","Pleurodema","Pleurodema_kriegi","","lentic, benthic",1,"0",1,0,6,6,4,"Pleurodema_kriegi"
"451","Leptodactylidae","Pleurodema","Pleurodema_nebulosum","","lentic, benthic",1,"0",1,0,6,6,4,"Pleurodema_nebulosum"
"452","Leptodactylidae","Pseudopaludicola","Pseudopaludicola_falcipes","","lentic",1,"0",1,0,6,6,4,"Pseudopaludicola_falcipes"
"453","Leptodactylidae","Rupirana","Rupirana_cardosoi","","lentic, benthic",1,"0",1,0,6,6,4,"Rupirana_cardosoi"
"456","Mantellidae","Aglyptodactylus","Aglyptodactylus_madagascariensis","","lentic",1,"0",1,0,6,6,4,"Aglyptodactylus_madagascariensis"
"457","Mantellidae","Blommersia","Blommersia_transmarina","","lentic",1,"0",1,0,6,6,4,"Blommersia_transmarina"
"459","Mantellidae","Boophis","Boophis_albilabris","","lotic, suctorial",0,"0",1,1,4,4,2,"Boophis_albilabris"
"460","Mantellidae","Boophis","Boophis_sp.","Boophis_majori","lotic, suctorial",0,"0",1,1,4,4,2,"Boophis_majori"
"461","Mantellidae","Gephyromantis","Gephyromantis_pseudoasper","","lotic",0,"0",1,0,3,3,2,"Gephyromantis_pseudoasper"
"462","Mantellidae","Guibemantis","Guibemantis_liber","","lentic",1,"0",1,0,6,6,4,"Guibemantis_liber"
"463","Mantellidae","Laliostoma","Laliostoma_labrosum","","lentic",1,"0",1,0,6,6,4,"Laliostoma_labrosum"
"464","Mantellidae","Mantella","Mantella_aurantiaca","","lentic",1,"0",1,0,6,6,4,"Mantella_aurantiaca"
"465","Mantellidae","Mantidactylus","Mantidactylus_aerumnalis","","lotic, neustonic",0,"0",1,0,3,3,2,"Mantidactylus_aerumnalis"
"466","Mantellidae","Mantidactylus","Mantidactylus_alutus","","lotic lentic",1,"0",1,0,6,6,4,"Mantidactylus_alutus"
"467","Mantellidae","Mantidactylus","Mantidactylus_biporus","","lotic lentic",1,"0",1,0,6,6,4,"Mantidactylus_biporus"
"468","Mantellidae","Mantidactylus","Mantidactylus_femoralis","","lotic, sand-eating",0,"0",1,1,4,4,2,"Mantidactylus_femoralis"
"469","Mantellidae","Mantidactylus","Mantidactylus_guttulatus","","lotic",0,"0",1,0,3,3,2,"Mantidactylus_guttulatus"
"470","Mantellidae","Mantidactylus","Mantidactylus_majori","","lotic, sand-eating",0,"0",0,1,2,2,1,"Mantidactylus_majori"
"471","Mantellidae","Mantidactylus","Mantidactylus_melanopleura","","lotic, neustonic",0,"0",1,0,3,3,2,"Mantidactylus_melanopleura"
"472","Mantellidae","Mantidactylus","Mantidactylus_opiparis","","lotic, neustonic",0,"0",1,0,3,3,2,"Mantidactylus_opiparis"
"477","Mantellidae","Spinomantis","Spinomantis_fimbriatus","","lotic",0,"0",1,0,3,3,2,"Spinomantis_fimbriatus"
"481","Megophryidae","Boulenophrys","Boulenophrys_minor","","lotic, neustonic",0,"0",1,0,3,3,2,"Boulenophrys_minor"
"483","Megophryidae","Leptobrachella","Leptobrachella_gracilis","","lotic, fossorial",0,"0",0,1,2,2,1,"Leptobrachella_gracilis"
"484","Megophryidae","Leptobrachella","Leptobrachella_pelodytoides","","lotic, fossorial",0,"0",0,1,2,2,1,"Leptobrachella_pelodytoides"
"485","Megophryidae","Leptobrachella","Leptobrachella_sp.","Leptobrachella_oshanensis","lotic, fossorial",0,"0",0,1,2,2,1,"Leptobrachella_oshanensis"
"486","Megophryidae","Leptobrachium","Leptobrachium_cf_hasseltii","Leptobrachium_hasseltii","lotic, benthic",0,"0",1,0,3,3,2,"Leptobrachium_hasseltii"
"487","Megophryidae","Leptobrachium","Leptobrachium_montanum","","lotic, benthic",0,"0",1,0,3,3,2,"Leptobrachium_montanum"
"488","Megophryidae","Leptobrachium","Leptobrachium_nigrops","","lotic, benthic",0,"0",1,0,3,3,2,"Leptobrachium_nigrops"
"489","Megophryidae","Megophrys","Megophrys_montana","","lotic, neustonic",0,"0",1,0,3,3,2,"Megophrys_montana"
"492","Megophryidae","Oreolalax","Oreolalax_rhodostigmatus","","lentic, cave pools",1,"0",1,0,6,6,4,"Oreolalax_rhodostigmatus"
"493","Megophryidae","Pelobatrachus","Pelobatrachus_ligayae","","lotic, neustonic",0,"0",1,0,3,3,2,"Pelobatrachus_ligayae"
"494","Megophryidae","Pelobatrachus","Pelobatrachus_nasuta","","lotic, neustonic",0,"0",1,0,3,3,2,"Pelobatrachus_nasuta"
"495","Megophryidae","Pelobatrachus","Pelobatrachus_stejnegeri","","lotic, neustonic",0,"0",1,0,3,3,2,"Pelobatrachus_stejnegeri"
"496","Megophryidae","Scutiger","Scutiger_boulengeri","","lotic",0,"0",1,0,3,3,2,"Scutiger_boulengeri"
"497","Megophryidae","Scutiger","Scutiger_chintingensis","","lotic",0,"0",1,0,3,3,2,"Scutiger_chintingensis"
"504","Microhylidae","Arcovomer","Arcovomer_passarellii","","lentic",1,"0",1,0,6,6,4,"Arcovomer_passarellii"
"509","Microhylidae","Chaperina","Chaperina_fusca","","lentic, suspension feeder",1,"0",1,0,6,6,4,"Chaperina_fusca"
"510","Microhylidae","Chiasmocleis","Chiasmocleis_antenori","","lentic, arboreal",1,"0",1,0,6,6,4,"Chiasmocleis_antenori"
"515","Microhylidae","Ctenophryne","Ctenophryne_geayi","","lentic, suspension feeder",1,"0",1,0,6,6,4,"Ctenophryne_geayi"
"517","Microhylidae","Dermatonotus","Dermatonotus_muelleri","","lentic, suspension feeder",1,"0",1,0,6,6,4,"Dermatonotus_muelleri"
"518","Microhylidae","Dyscophus","Dyscophus_antongilii","","lentic, suspension feeder",1,"0",1,0,6,6,4,"Dyscophus_antongilii"
"519","Microhylidae","Elachistocleis","Elachistocleis_bicolor","","lentic, suspension feeder",1,"0",1,0,6,6,4,"Elachistocleis_bicolor"
"520","Microhylidae","Gastrophryne","Gastrophryne_carolinensis","","lentic, suspension feeder",1,"0",1,0,6,6,4,"Gastrophryne_carolinensis"
"523","Microhylidae","Glyphoglossus","Glyphoglossus_guttulatus","","lentic, suspension feeder",1,"0",1,0,6,6,4,"Glyphoglossus_guttulatus"
"524","Microhylidae","Glyphoglossus","Glyphoglossus_molossus","","lentic",1,"0",1,0,6,6,4,"Glyphoglossus_molossus"
"525","Microhylidae","Hamptophryne","Hamptophryne_alios","","lentic",1,"0",1,0,6,6,4,"Hamptophryne_alios"
"526","Microhylidae","Hamptophryne","Hamptophryne_boliviana","","lentic, suspension feeder",1,"0",1,0,6,6,4,"Hamptophryne_boliviana"
"527","Microhylidae","Hoplophryne","Hoplophryne_rogersi","","lentic, arboreal",1,"0",1,0,6,6,4,"Hoplophryne_rogersi"
"528","Microhylidae","Hoplophryne","Hoplophryne_uluguruensis","","lentic, arboreal",1,"0",1,0,6,6,4,"Hoplophryne_uluguruensis"
"530","Microhylidae","Hypopachus","Hypopachus_barberi","","lentic, suspension feeder",1,"0",1,0,6,6,4,"Hypopachus_barberi"
"531","Microhylidae","Kalophrynus","Kalophrynus_sinensis","","lentic",1,"0",1,0,6,6,4,"Kalophrynus_sinensis"
"532","Microhylidae","Kaloula","Kaloula_pulchra","","lentic, suspension feeder",1,"0",1,0,6,6,4,"Kaloula_pulchra"
"539","Microhylidae","Microhyla","Microhyla_annamensis","","lentic, suspension feeder",1,"0",1,0,6,6,4,"Microhyla_annamensis"
"540","Microhylidae","Microhyla","Microhyla_arboricola","","lentic, arboreal",1,"0",1,0,6,6,4,"Microhyla_arboricola"
"541","Microhylidae","Microhyla","Microhyla_borneensis","","lentic, arboreal",1,"0",1,0,6,6,4,"Microhyla_borneensis"
"542","Microhylidae","Microhyla","Microhyla_fissipes","","lentic, suspension feeder",1,"0",1,0,6,6,4,"Microhyla_fissipes"
"543","Microhylidae","Microhyla","Microhyla_heymonsi","","lentic, neustonic",1,"0",1,0,6,6,4,"Microhyla_heymonsi"
"544","Microhylidae","Microhyla","Microhyla_malang","","lentic, suspension feeder",1,"0",1,0,6,6,4,"Microhyla_malang"
"545","Microhylidae","Microhyla","Microhyla_minuta","","lentic, neustonic",1,"0",1,0,6,6,4,"Microhyla_minuta"
"546","Microhylidae","Microhyla","Microhyla_ornata","","lentic, suspension feeder",1,"0",1,0,6,6,4,"Microhyla_ornata"
"547","Microhylidae","Microhyla","Microhyla_pineticola","","lentic, suspension feeder",1,"0",1,0,6,6,4,"Microhyla_pineticola"
"548","Microhylidae","Micryletta","Micryletta_inornata","","lentic",1,"0",1,0,6,6,4,"Micryletta_inornata"
"554","Microhylidae","Otophryne","Otophryne_robusta","","lotic, fossorial",0,"0",0,1,2,2,1,"Otophryne_robusta"
"555","Microhylidae","Otophryne","Otophryne_sp","Otophryne_pyburni","lotic, fossorial",0,"0",0,1,2,2,1,"Otophryne_pyburni"
"558","Microhylidae","Paradoxophyla","Paradoxophyla_palmata","","lentic, suspension feeder",1,"0",1,0,6,6,4,"Paradoxophyla_palmata"
"561","Microhylidae","Phrynomantis","Phrynomantis_annectens","","lentic, suspension feeder",1,"0",1,0,6,6,4,"Phrynomantis_annectens"
"562","Microhylidae","Phrynomantis","Phrynomantis_bifasciatus","","lentic, suspension feeder",1,"0",1,0,6,6,4,"Phrynomantis_bifasciatus"
"567","Microhylidae","Scaphiophryne","Scaphiophryne_calcarata","","lentic",1,"0",1,0,6,6,4,"Scaphiophryne_calcarata"
"568","Microhylidae","Scaphiophryne","Scaphiophryne_madagascariensis","","lentic, suspension feeder",1,"0",1,0,6,6,4,"Scaphiophryne_madagascariensis"
"569","Microhylidae","Scaphiophryne","Scaphiophryne_spinosa","","lentic",1,"0",1,0,6,6,4,"Scaphiophryne_spinosa"
"570","Microhylidae","Siamophryne","Siamophryne_troglodytes","","lentic, cave pools",1,"0",1,0,6,6,4,"Siamophryne_troglodytes"
"572","Microhylidae","Stereocyclops","Stereocyclops_incrassatus","","lentic, suspension feeder",1,"0",1,0,6,6,4,"Stereocyclops_incrassatus"
"581","Myobatrachidae","Crinia","Crinia_insignifera","","lentic, benthic",1,"0",0,0,5,5,3,"Crinia_insignifera"
"582","Myobatrachidae","Crinia","Crinia_riparia","","lotic, benthic",0,"0",0,0,1,1,1,"Crinia_riparia"
"583","Myobatrachidae","Crinia","Crinia_signifera","","lentic, benthic",1,"0",0,0,5,5,3,"Crinia_signifera"
"584","Myobatrachidae","Crinia","Crinia_tasmaniensis","","lotic lentic",1,"0",0,0,5,5,3,"Crinia_tasmaniensis"
"586","Myobatrachidae","Heleioporus","Heleioporus_sp.","Heleioporus_australiacus","lentic, benthic",1,"0",1,0,6,6,4,"Heleioporus_australiacus"
"588","Myobatrachidae","Limnodynastes","Limnodynastes_dumerilii","","lentic",1,"0",1,0,6,6,4,"Limnodynastes_dumerilii"
"589","Myobatrachidae","Limnodynastes","Limnodynastes_interioris","","lentic",1,"0",1,0,6,6,4,"Limnodynastes_interioris"
"590","Myobatrachidae","Limnodynastes","Limnodynastes_lignarius","","lotic, suctorial",0,"0",1,1,4,4,2,"Limnodynastes_lignarius"
"592","Myobatrachidae","Limnodynastes","Limnodynastes_peronii","","lentic",1,"0",1,0,6,6,4,"Limnodynastes_peronii"
"593","Myobatrachidae","Limnodynastes","Limnodynastes_tasmaniensis","","lentic, benthic",1,"0",1,0,6,6,4,"Limnodynastes_tasmaniensis"
"595","Myobatrachidae","Mixophyes","Mixophyes_balbus","","lotic, suctorial",0,"0",1,1,4,4,2,"Mixophyes_balbus"
"596","Myobatrachidae","Mixophyes","Mixophyes_schevilli","","lotic, suctorial",0,"0",1,1,4,4,2,"Mixophyes_schevilli"
"598","Myobatrachidae","Neobatrachus","Neobatrachus_aquilonius","","lentic",1,"0",1,0,6,6,4,"Neobatrachus_aquilonius"
"599","Myobatrachidae","Neobatrachus","Neobatrachus_sudellae","","lentic, benthic",1,"0",1,0,6,6,4,"Neobatrachus_sudellae"
"600","Myobatrachidae","Neobatrachus","Neobatrachus_wilsmorei","","lentic",1,"0",1,0,6,6,4,"Neobatrachus_wilsmorei"
"601","Myobatrachidae","Notaden","Notaden_melanoscaphus","","lentic",1,"0",1,0,6,6,4,"Notaden_melanoscaphus"
"602","Myobatrachidae","Notaden","Notaden_nichollsi","","lentic",1,"0",1,0,6,6,4,"Notaden_nichollsi"
"605","Myobatrachidae","Platyplectrum","Platyplectrum_ornatum","","lentic",1,"0",1,0,6,6,4,"Platyplectrum_ornatum"
"607","Myobatrachidae","Pseudophryne","Pseudophryne_bibronii","","lentic, benthic",1,"0",0,0,5,5,3,"Pseudophryne_bibronii"
"610","Myobatrachidae","Taudactylus","Taudactylus_diurnus","Taudactylus_acutirostris","lotic, benthic",0,"0",1,0,3,3,2,"Taudactylus_acutirostris"
"617","Odontobatrachidae","Odontobatrachus","Odontobatrachus_fouta","","lotic, suctorial",0,"0",0,1,2,2,1,"Odontobatrachus_fouta"
"618","Odontobatrachidae","Odontobatrachus","Odontobatrachus_natator","","lotic, suctorial",0,"0",0,1,2,2,1,"Odontobatrachus_natator"
"619","Odontophrynidae","Macrogenioglottus","Macrogenioglottus_alipioi","","lentic, benthic",1,"0",1,0,6,6,4,"Macrogenioglottus_alipioi"
"620","Odontophrynidae","Odontophrynus","Odontophrynus_americanus","","lentic, benthic",1,"0",1,0,6,6,4,"Odontophrynus_americanus"
"621","Odontophrynidae","Odontophrynus","Odontophrynus_occidentalis","","lentic, benthic",1,"0",1,0,6,6,4,"Odontophrynus_occidentalis"
"622","Odontophrynidae","Proceratophrys","Proceratophrys_appendiculata","","lotic, benthic",0,"0",1,0,3,3,2,"Proceratophrys_appendiculata"
"623","Odontophrynidae","Proceratophrys","Proceratophrys_bigibbosa","","lentic, benthic",1,"0",1,0,6,6,4,"Proceratophrys_bigibbosa"
"624","Odontophrynidae","Proceratophrys","Proceratophrys_boiei","","lotic, benthic",0,"0",1,0,3,3,2,"Proceratophrys_boiei"
