"","Family","Genus","Taxa","Portik","guild","ecology","terrestrial","lung","Spec_lotic","six_state","eight_state","state","tree_names"
"77","Bufonidae","Bufo","Bufo_bufo","","lentic, benthic",1,"0",0,0,5,5,3,"Bufo_bufo"
"79","Bufonidae","Bufo","Bufo_torrenticola","","lotic, suctorial",0,"0",0,1,2,2,1,"Bufo_torrenticola"
"82","Bufonidae","Capensibufo","Capensibufo_tradouwi","","Lentic, benthic",1,"0",0,0,5,5,3,"Capensibufo_tradouwi"
"84","Bufonidae","Dendrophryniscus","Dendrophryniscus_brevipollicatus","","Lentic, benthic",1,"0",0,0,5,5,3,"Dendrophryniscus_brevipollicatus"
"87","Bufonidae","Duttaphrynus","Duttaphrynus_melanostictus","","lentic",1,"0",0,0,5,5,3,"Duttaphrynus_melanostictus"
"88","Bufonidae","Duttaphrynus","Duttaphrynus_stomaticus","","lentic, benthic",1,"0",0,0,5,5,3,"Duttaphrynus_stomaticus"
"90","Bufonidae","Frostius","Frostius_pernambucensis","Frostius_erythrophthalmus","lentic, arboreal",1,"0",0,0,5,5,3,"Frostius_erythrophthalmus"
"93","Bufonidae","Incilius","Incilius_aucoinae","","lotic",0,"0",0,0,1,1,1,"Incilius_aucoinae"
"94","Bufonidae","Incilius","Incilius_coccifer","","lentic, benthic",1,"0",0,0,5,5,3,"Incilius_coccifer"
"95","Bufonidae","Incilius","Incilius_coniferus","","lentic, benthic",1,"0",0,0,5,5,3,"Incilius_coniferus"
"96","Bufonidae","Ingerophrynus","Ingerophrynus_parvus","","lentic",1,"0",0,0,5,5,3,"Ingerophrynus_parvus"
"99","Bufonidae","Melanophryniscus","Melanophryniscus_moreirae","","lentic, arboreal",1,"0",0,0,5,5,3,"Melanophryniscus_moreirae"
"100","Bufonidae","Melanophryniscus","Melanophryniscus_pachyrhynus","","lotic",0,"0",0,0,1,1,1,"Melanophryniscus_pachyrhynus"
"102","Bufonidae","Mertensophryne","Mertensophryne_micranotis","","lentic, arboreal",1,"0",0,0,5,5,3,"Mertensophryne_micranotis"
"104","Bufonidae","Nannophryne","Nannophryne_cophotis","","lentic",1,"0",0,0,5,5,3,"Nannophryne_cophotis"
"113","Bufonidae","Peltophryne","Peltophryne_lemur","","lentic",1,"0",0,0,5,5,3,"Peltophryne_lemur"
"114","Bufonidae","Peltophryne","Peltophryne_peltocephala","","lentic, benthic",1,"0",0,0,5,5,3,"Peltophryne_peltocephala"
"115","Bufonidae","Phrynoidis","Phrynoidis_asper","","lotic, suctorial",0,"0",0,1,2,2,1,"Phrynoidis_asper"
"118","Bufonidae","Rentapia","Rentapia_hosii","","lotic",0,"0",0,0,1,1,1,"Rentapia_hosii"
"119","Bufonidae","Adhaerobufo","Adhaerobufo_nasicus","Rhaebo_nasicus","lotic, suctorial",0,"0",0,1,2,2,1,"Rhaebo_nasicus"
"120","Bufonidae","Rhaebo","Rhaebo_caeruleostictus","?","lentic",1,"0",0,0,5,5,3,NA
"121","Bufonidae","Rhaebo","Rhaebo_glaberrimus","","lotic",0,"0",0,0,1,1,1,"Rhaebo_glaberrimus"
"122","Bufonidae","Rhaebo","Rhaebo_guttatus","","lentic",1,"0",0,0,5,5,3,"Rhaebo_guttatus"
"123","Bufonidae","Rhaebo","Rhaebo_haematiticus","","lotic",0,"0",0,0,1,1,1,"Rhaebo_haematiticus"
"124","Bufonidae","Rhinella","Rhinella_acutirostris","","lentic, benthic",1,"0",0,0,5,5,3,"Rhinella_acutirostris"
"125","Bufonidae","Rhinella","Rhinella_amabilis","Rhinella_limensis","",NA,"0",0,0,NA,NA,NA,"Rhinella_limensis"
"126","Bufonidae","Rhinella","Rhinella_arenarum","","lentic, benthic",1,"0",0,0,5,5,3,"Rhinella_arenarum"
"128","Bufonidae","Rhinella","Rhinella_castaneotica","","lentic, arboreal",1,"0",0,0,5,5,3,"Rhinella_castaneotica"
"129","Bufonidae","Rhinella","Rhinella_chrysophora","?","lotic, gastromyzophorous",0,"0",0,1,2,2,1,NA
"130","Bufonidae","Rhinella","Rhinella_crucifer","","lentic",1,"0",0,0,5,5,3,"Rhinella_crucifer"
"131","Bufonidae","Rhinella","Rhinella_granulosa","","lentic, benthic",1,"0",0,0,5,5,3,"Rhinella_granulosa"
"132","Bufonidae","Rhinella","Rhinella_icterica","","lentic",1,"0",0,0,5,5,3,"Rhinella_icterica"
"133","Bufonidae","Rhinella","Rhinella_jimi","Rhinella_horribilis","lentic, benthic",1,"0",0,0,5,5,3,"Rhinella_horribilis"
"134","Bufonidae","Rhinella","Rhinella_marina","","lentic, benthic",1,"0",0,0,5,5,3,"Rhinella_marina"
"135","Bufonidae","Rhinella","Rhinella_schneideri","","lentic",1,"0",0,0,5,5,3,"Rhinella_schneideri"
"137","Bufonidae","Rhinella","Rhinella_veraguensis","","lotic, gastromyzophorous",0,"0",0,1,2,2,1,"Rhinella_veraguensis"
"140","Bufonidae","Schismaderma","Schismaderma_carens","","lentic, nektonic",1,"0",0,0,5,5,3,"Schismaderma_carens"
"141","Bufonidae","Sclerophrys","Sclerophrys_capensis","","lentic",1,"0",0,0,5,5,3,"Sclerophrys_capensis"
"142","Bufonidae","Sclerophrys","Sclerophrys_garmani","","lentic",1,"0",0,0,5,5,3,"Sclerophrys_garmani"
"143","Bufonidae","Sclerophrys","Sclerophrys_gutturalis","","lentic",1,"0",0,0,5,5,3,"Sclerophrys_gutturalis"
"144","Bufonidae","Sclerophrys","Sclerophrys_lemairii","","lentic",1,"0",0,0,5,5,3,"Sclerophrys_lemairii"
"145","Bufonidae","Sclerophrys","Sclerophrys_pardalis","","lentic",1,"0",0,0,5,5,3,"Sclerophrys_pardalis"
"147","Bufonidae","Sclerophrys","Sclerophrys_poweri","","lentic",1,"0",0,0,5,5,3,"Sclerophrys_poweri"
"148","Bufonidae","Sclerophrys","Sclerophrys_pusilla","","lentic",1,"0",0,0,5,5,3,"Sclerophrys_pusilla"
"150","Bufonidae","Strauchbufo","Strauchbufo_raddei","","lentic",1,"0",0,0,5,5,3,"Strauchbufo_raddei"
"152","Bufonidae","Vandijkophrynus","Vandijkophrynus_amatolicus","","lentic",1,"0",0,0,5,5,3,"Vandijkophrynus_amatolicus"
"153","Bufonidae","Vandijkophrynus","Vandijkophrynus_angusticeps","","lentic",1,"0",0,0,5,5,3,"Vandijkophrynus_angusticeps"
"154","Bufonidae","Vandijkophrynus","Vandijkophrynus_gariepensis","","lentic",1,"0",0,0,5,5,3,"Vandijkophrynus_gariepensis"
"155","Bufonidae","Werneria","Werneria_bambutensis","","lotic, suctorial",0,"0",0,1,2,2,1,"Werneria_bambutensis"
"159","Calyptocephalellidae","Calyptocephalella","Calyptocephalella_gayi","","lentic, benthic",1,"0",1,0,6,6,4,"Calyptocephalella_gayi"
"162","Centrolenidae","Centrolene","Centrolene_geckoideum","","lotic, fossorial",0,"0",0,1,2,2,1,"Centrolene_geckoideum"
