sort,Family,Genus,Taxa,specimen numbers,,Portik,phylogeny notes,guild,ecology,Spec_lotic,ecology_source,lung_text,lung,lung_info,JRP_dissection_museum,museum dissection N = ,stage range exained,visit number,JRP_dissection_fresh,Histological_sections_examined,Dice_CT_material_reviewed,PHD_dissection_museum,air-breathing,literature_morphology,literature,Conflicting Source,Notes,Taxa_clone,development_high,development_low,source,source 2 (if needed),notes on larval period,Jetz_name
54,Bufonidae,Anaxyrus,Anaxyrus_terrestris,,,,,"lentic, benthic",1,0,,absent,0,,,,,,,,,,,,,,,Anaxyrus_terrestris,,,,,,
55,Bufonidae,Anaxyrus,Anaxyrus_woodhousii,,,,,"lentic, benthic",1,0,,absent,0,,,,,,,,,,,,,,,Anaxyrus_woodhousii,,,,,,
56,Bufonidae,Ansonia,Ansonia_echinata,,,?,Cannot be robustly included - three members sampled,"lotic, suctorial",0,1,,absent,0,buds,,,,,,,,Dias,,,Dias,,,Ansonia_echinata,,,,,,
57,Bufonidae,Ansonia,Ansonia_hanitschi,ZMH_13378,,,,"lotic, suctorial",0,1,,absent,0,,,,,,,,,Dias,,,Dias,,,Ansonia_hanitschi,,,,,,
58,Bufonidae,Ansonia,Ansonia_mcgregori,KU_321789 & KU_321784,,,,"lotic, suctorial",0,1,,absent,0,buds,KU,2,~37,1,,,,,,,KU,,,Ansonia_mcgregori,,,,,,
59,Bufonidae,Atelopus,Atelopus_nanay,,,,,"lotic, gastromyzophorous",0,1,,absent,0,buds,,,,,,,,Dias,,,Dias,,,Atelopus_nanay,,,,,,
60,Bufonidae,Atelopus,Atelopus_tricolor,,,,,"lotic, gastromyzophorous",0,1,,absent,0,buds,,,,,,,,,,,"Haas, 2003",,,Atelopus_tricolor,,,,,,
61,Bufonidae,Atelopus,Atelopus_zeteki,,,,,"lotic, gastromyzophorous",0,1,,,?,,,,,,,,,,,,,,,,,,,,,
62,Bufonidae,Barbarophryne,Barbarophryne_brongersmai,,,,,"lentic, benthic",1,0,,absent,0,buds,,,,,,,,,,,"Haas, 2003",,,Barbarophryne_brongersmai,,,,,,
63,Bufonidae,Blythophryne,,,,,,"lentic, arboreal",1,0,,,,,,,,,,,,,,,,,*apparently sister to bufoides,0,,,,,,
64,Bufonidae,Bufo,Bufo_aspinius,,,,,lotic,0,0,,,,,,,,,,,,,,,,,,Bufo_aspinius,,,,,,
65,Bufonidae,Bufo,Bufo_bufo,,,,,"lentic, benthic",1,0,,absent,0,buds,,,,,,,,,,,"Haas, 2003",,,Bufo_bufo,,,,,,
